%%	downloads(Month, Year, Win32, Win64, Mac, RPM, Source)

date(2009, mar, 12).
downloads(feb, 1999, 1158, 0, 0, 185, 327).
downloads(mar, 1999, 1007, 0, 0, 303, 327).
downloads(apr, 1999, 960, 0, 0, 248, 283).
downloads(may, 1999, 1140, 0, 0, 324, 419).
downloads(jun, 1999, 850, 0, 0, 204, 237).
downloads(jul, 1999, 573, 0, 0, 152, 170).
downloads(aug, 1999, 500, 0, 0, 156, 164).
downloads(sep, 1999, 1174, 0, 0, 283, 272).
downloads(oct, 1999, 2156, 0, 0, 524, 408).
downloads(nov, 1999, 1830, 0, 0, 348, 312).
downloads(dec, 1999, 1116, 0, 0, 303, 224).
downloads(jan, 2000, 1606, 0, 0, 349, 283).
downloads(feb, 2000, 2094, 0, 0, 456, 448).
downloads(mar, 2000, 2573, 0, 0, 477, 429).
downloads(apr, 2000, 2185, 0, 0, 407, 361).
downloads(may, 2000, 1875, 0, 0, 369, 399).
downloads(jun, 2000, 1558, 0, 0, 329, 338).
downloads(jul, 2000, 1296, 0, 0, 225, 367).
downloads(aug, 2000, 1024, 0, 0, 212, 229).
downloads(sep, 2000, 2023, 0, 0, 421, 459).
downloads(oct, 2000, 4081, 0, 0, 848, 853).
downloads(nov, 2000, 3982, 0, 0, 701, 749).
downloads(dec, 2000, 2988, 0, 0, 374, 523).
downloads(jan, 2001, 978, 0, 0, 85, 139).
downloads(feb, 2001, 3654, 0, 0, 493, 530).
downloads(mar, 2001, 3984, 0, 0, 617, 618).
downloads(apr, 2001, 3952, 0, 0, 595, 474).
downloads(may, 2001, 3532, 0, 0, 618, 459).
downloads(jun, 2001, 2070, 0, 0, 355, 278).
downloads(jul, 2001, 2309, 0, 0, 341, 347).
downloads(aug, 2001, 2181, 0, 0, 441, 322).
downloads(sep, 2001, 3457, 0, 0, 514, 343).
downloads(oct, 2001, 6360, 0, 0, 954, 529).
downloads(nov, 2001, 6034, 0, 0, 800, 503).
downloads(dec, 2001, 4581, 0, 0, 725, 516).
downloads(jan, 2002, 5447, 0, 0, 794, 662).
downloads(feb, 2002, 5832, 0, 0, 895, 540).
downloads(mar, 2002, 6889, 0, 40, 903, 629).
downloads(apr, 2002, 7160, 0, 116, 873, 526).
downloads(may, 2002, 5812, 0, 104, 791, 432).
downloads(jun, 2002, 4816, 0, 87, 620, 393).
