date(2009, 3, 12).
downloads(1999, 2, [win32=1158, win64=0, mac=0, linux=185, source=327]).
downloads(1999, 3, [win32=1007, win64=0, mac=0, linux=303, source=327]).
downloads(1999, 4, [win32=960, win64=0, mac=0, linux=248, source=283]).
downloads(1999, 5, [win32=1140, win64=0, mac=0, linux=324, source=419]).
downloads(1999, 6, [win32=850, win64=0, mac=0, linux=204, source=237]).
downloads(1999, 7, [win32=573, win64=0, mac=0, linux=152, source=170]).
downloads(1999, 8, [win32=500, win64=0, mac=0, linux=156, source=164]).
downloads(1999, 9, [win32=1174, win64=0, mac=0, linux=283, source=272]).
downloads(1999, 10, [win32=2156, win64=0, mac=0, linux=524, source=408]).
downloads(1999, 11, [win32=1830, win64=0, mac=0, linux=348, source=312]).
downloads(1999, 12, [win32=1116, win64=0, mac=0, linux=303, source=224]).
downloads(2000, 1, [win32=1606, win64=0, mac=0, linux=349, source=283]).
downloads(2000, 2, [win32=2094, win64=0, mac=0, linux=456, source=448]).
downloads(2000, 3, [win32=2573, win64=0, mac=0, linux=477, source=429]).
downloads(2000, 4, [win32=2185, win64=0, mac=0, linux=407, source=361]).
downloads(2000, 5, [win32=1875, win64=0, mac=0, linux=369, source=399]).
downloads(2000, 6, [win32=1558, win64=0, mac=0, linux=329, source=338]).
downloads(2000, 7, [win32=1296, win64=0, mac=0, linux=225, source=367]).
downloads(2000, 8, [win32=1024, win64=0, mac=0, linux=212, source=229]).
downloads(2000, 9, [win32=2023, win64=0, mac=0, linux=421, source=459]).
downloads(2000, 10, [win32=4081, win64=0, mac=0, linux=848, source=853]).
downloads(2000, 11, [win32=3982, win64=0, mac=0, linux=701, source=749]).
downloads(2000, 12, [win32=2988, win64=0, mac=0, linux=374, source=523]).
downloads(2001, 1, [win32=978, win64=0, mac=0, linux=85, source=139]).
downloads(2001, 2, [win32=3654, win64=0, mac=0, linux=493, source=530]).
downloads(2001, 3, [win32=3984, win64=0, mac=0, linux=617, source=618]).
downloads(2001, 4, [win32=3952, win64=0, mac=0, linux=595, source=474]).
downloads(2001, 5, [win32=3532, win64=0, mac=0, linux=618, source=459]).
downloads(2001, 6, [win32=2070, win64=0, mac=0, linux=355, source=278]).
downloads(2001, 7, [win32=2309, win64=0, mac=0, linux=341, source=347]).
downloads(2001, 8, [win32=2181, win64=0, mac=0, linux=441, source=322]).
downloads(2001, 9, [win32=3457, win64=0, mac=0, linux=514, source=343]).
downloads(2001, 10, [win32=6360, win64=0, mac=0, linux=954, source=529]).
downloads(2001, 11, [win32=6034, win64=0, mac=0, linux=800, source=503]).
downloads(2001, 12, [win32=4581, win64=0, mac=0, linux=725, source=516]).
downloads(2002, 1, [win32=5447, win64=0, mac=0, linux=794, source=662]).
downloads(2002, 2, [win32=5832, win64=0, mac=0, linux=895, source=540]).
downloads(2002, 3, [win32=6889, win64=0, mac=40, linux=903, source=629]).
downloads(2002, 4, [win32=7160, win64=0, mac=116, linux=873, source=526]).
downloads(2002, 5, [win32=5812, win64=0, mac=104, linux=791, source=432]).
downloads(2002, 6, [win32=4816, win64=0, mac=87, linux=620, source=393]).
downloads(2002, 7, [win32=3597, win64=0, mac=63, linux=454, source=379]).
downloads(2002, 8, [win32=3467, win64=0, mac=72, linux=457, source=279]).
downloads(2002, 9, [win32=5926, win64=0, mac=115, linux=745, source=496]).
downloads(2002, 10, [win32=12217, win64=0, mac=178, linux=1447, source=811]).
downloads(2002, 11, [win32=9330, win64=0, mac=176, linux=1056, source=604]).
downloads(2002, 12, [win32=6390, win64=0, mac=136, linux=707, source=435]).
downloads(2003, 1, [win32=7680, win64=0, mac=214, linux=878, source=488]).
downloads(2003, 2, [win32=7976, win64=0, mac=141, linux=882, source=723]).
downloads(2003, 3, [win32=9486, win64=0, mac=173, linux=1074, source=565]).
downloads(2003, 4, [win32=9223, win64=0, mac=169, linux=1155, source=549]).
downloads(2003, 5, [win32=8533, win64=0, mac=168, linux=971, source=578]).
